 linha  	valor  		classe
 63-69 		-36.61307	comendo
 70             -36.61300	bebendo
 71-73		-36.61307	comendo
 137		-36.61310	ócio
 138-139	-36.61310	ruminando
 140-141	-36.61310	ócio
 142-143	-36.61310	ruminando
 144-145	-36.61310	ócio
 146-147	-36.61307	comendo
 148		-36.61310	ócio
 149-151	-36.61307	comendo
 152		-36.61310	ócio
 153-155	-36.61307	comendo
 156		-36.61310	ócio
 157		-36.61307	comendo
 158-159	-36.61310	ócio
 160		-36.61307	comendo
 161-163	-36.61310	ócio
 164-165	-36.61310	ruminando
 166-176	-36.61310	ócio
 177-192	-36.61307	comendo
 193		-36.61307	andando
 194-196	-36.61310	ruminando
 197		-36.61310	ócio
 198		-36.61307	andando
 199		-36.61310	ócio
 200		-36.61307	comendo
 277-281	-36.61310	ócio
 282-289	-36.61312	comendo
