lat,long,tbs-pasto,ur-pasto,tgn-pasto,tpo-pasto,tbs-sombra,ur-sombra,tgn-sombra,tpo-sombra,posicao,local,classe
-8.61973,-36.61312,18485,82225,18200,15359,18081,87919,32846,16069,0,0,2
-8.61972,-36.61313,18461,82303,18200,15349,18129,87859,32742,16105,0,0,2
-8.61974,-36.61312,18461,82303,18200,15349,18129,87859,32742,16105,0,0,2
-8.61972,-36.61312,18485,82391,18247,15388,18200,87662,32536,16140,0,0,2
-8.61970,-36.61312,18485,82419,18271,15392,18176,87345,31842,16060,0,0,2
-8.61967,-36.61312,18485,82419,18271,15392,18176,87345,31842,16060,0,0,3
-8.61966,-36.61313,18366,82309,17891,15257,17962,87366,32278,15853,0,0,3
-8.61971,-36.61313,18295,82321,17891,15189,17962,87652,32433,15904,0,1,3
-8.61969,-36.61314,18295,82321,17891,15189,17962,87652,32433,15904,0,0,2
-8.61972,-36.61314,18319,82437,18200,15232,18010,87640,32691,15949,0,0,2
-8.61971,-36.61315,18295,82460,17962,15213,17843,87743,32742,15803,0,0,2
-8.61969,-36.61314,18295,82460,17962,15213,17843,87743,32742,15803,0,0,2
-8.61970,-36.61312,18176,82517,17748,15106,17796,88040,33157,15809,0,0,2
-8.61971,-36.61317,18200,82577,17891,15140,17819,87903,32562,15808,0,0,0
-8.61967,-36.61317,18200,82577,17891,15140,17819,87903,32562,15808,0,1,3
-8.61971,-36.61314,18152,82594,17796,15096,17867,87772,32536,15832,0,1,3
-8.61959,-36.61296,18105,82639,17605,15057,17701,88159,33261,15737,0,0,4
-8.61954,-36.61308,18105,82639,17605,15057,17701,88159,33261,15737,0,0,3
-8.61966,-36.61312,18057,82795,17463,15037,17629,88614,33495,15747,0,1,3
-8.61965,-36.61309,17915,82956,17296,14924,17463,88949,33548,15641,0,0,2
-8.61965,-36.61308,18105,82639,17605,15057,17701,88159,33261,15737,0,0,2
-8.61965,-36.61307,17819,83018,17153,14841,17439,89318,33365,15683,0,0,1
-8.61968,-36.61311,17891,83061,17439,14919,17534,89528,33417,15813,0,0,2
-8.61966,-36.61311,17891,83061,17439,14919,17534,89528,33417,15813,0,0,2
-8.61962,-36.61308,17962,83077,17510,14992,17510,89569,34255,15797,0,0,2
-8.61966,-36.61311,17962,83050,17558,14987,17653,89744,34492,15969,0,0,2
-8.61967,-36.61308,17962,83050,17558,14987,17653,89744,34492,15969,0,0,2
-8.61966,-36.61310,18033,83093,17605,15064,17701,89826,33678,16030,1,0,3
-8.61965,-36.61306,18129,83170,17819,15171,17819,89832,33730,16148,1,0,3
-8.61963,-36.61312,18129,83170,17819,15171,17819,89832,33730,16148,1,0,4
-8.61963,-36.61309,18224,83191,17891,15268,17867,89704,33783,16173,1,0,4
-8.61965,-36.61309,18247,83224,17938,15297,18081,89523,33914,16353,1,0,4
-8.61965,-36.61309,18247,83224,17938,15297,18081,89523,33914,16353,1,0,4
-8.61966,-36.61311,18390,83173,18295,15428,18247,88765,33313,16383,0,0,3
-8.61963,-36.61309,18438,83128,18414,15467,18343,87409,31689,16235,0,0,3
-8.61962,-36.61301,18438,83128,18414,15467,18343,87409,31689,16235,0,0,3
-8.61966,-36.61308,18604,83055,18889,15618,18723,86392,30192,16426,0,1,3
-8.61961,-36.61307,19008,82951,20293,15998,20031,80828,25428,16659,0,0,1
-8.61961,-36.61306,19008,82951,20293,15998,20031,80828,25428,16659,0,0,2
-8.61961,-36.61301,19627,82198,22154,16474,20889,77439,25089,16817,0,0,2
-8.61959,-36.61299,20698,80553,25307,17231,22202,72391,24895,17021,0,0,2
-8.61959,-36.61298,20698,80553,25307,17231,22202,72391,24895,17021,0,0,2
-8.61961,-36.61300,21390,76889,18200,17226,22776,69359,26744,16897,0,0,2
-8.61955,-36.61303,21939,75099,17891,17413,22513,71113,26451,17039,0,1,3
-8.61954,-36.61303,21939,75099,18200,17413,22513,71113,26451,17039,0,0,2
-8.61960,-36.61301,22369,73384,18200,17488,23665,67603,27677,17339,0,0,2
-8.61953,-36.61306,23280,70326,17891,17732,25162,59944,28742,16854,0,0,3
-8.61959,-36.61301,23280,70326,17891,17732,25162,59944,28742,16854,0,0,3
-8.61955,-36.61320,24291,65998,17891,17743,24871,59229,28419,16392,1,0,3
-8.61953,-36.61320,24315,65791,17938,17719,25939,56771,29140,16723,1,0,4
-8.61946,-36.61320,24315,65791,17938,17719,25939,56771,29140,16723,1,0,4
-8.61946,-36.61316,24677,63398,17891,17501,24968,59853,28518,16648,0,0,3
-8.61939,-36.61318,24871,62209,18200,17397,26036,56037,29190,16609,0,0,2
-8.61941,-36.61309,24871,62209,18200,17397,26036,56037,29190,16609,0,0,2
-8.61946,-36.61321,26012,59465,18200,17784,27308,50233,29890,16066,0,0,2
